app,kernel,class,t_base_ms,a_share,b_share,c_share,holdout_err_pct,gate
hb_idivide,check,G5-compute,4067.478,0.947,0.0,0.052,0.0,ok
hb_interleave,add_kernel_non_interleaved,G3-l2-reuse,262.308,0.999,-0.0,0.001,0.0,ok
hb_intrinsics_cast,cast1_intrinsics,G5-compute,36.121,1.0,0.0,-0.001,0.1,ok
hb_intrinsics_simd,simd_intrinsics,G5-compute,18.616,0.981,0.0,0.018,0.1,ok
hb_inversek2j,invkin_kernel,G2-coalescing,363.852,0.831,-0.001,0.17,0.2,ok
hb_is,create_seq_gpu_kernel,G5-compute,0.969,1.005,0.007,-0.012,0.4,ok
hb_is,rank_gpu_kernel_3,G3-l2-reuse,0.255,0.346,0.003,0.651,3.8,ok
hb_is,rank_gpu_kernel_1,G3-l2-reuse,0.054,0.648,0.01,0.341,2.2,ok
hb_is,rank_gpu_kernel_4,G4-latency,0.052,0.785,0.002,0.213,1.6,ok
hb_is,rank_gpu_kernel_5,G4-latency,0.049,0.768,0.008,0.224,1.2,ok
hb_is,rank_gpu_kernel_7,G3-l2-reuse,0.04,0.672,0.0,0.328,2.3,ok
hb_is,rank_gpu_kernel_6,G4-latency,0.035,0.668,-0.0,0.332,2.4,ok
hb_is,rank_gpu_kernel_2,G6-onchip,0.027,0.635,0.003,0.362,2.2,ok
hb_ising,update_lattice,G1-bandwidth,983.857,0.879,0.293,-0.172,7.1,nonphysical
